caseid,age,childrern_number,level_of_education,first_language,health,marital_status,birth_country,born_parents,unable_to_play_rent,number_of_unions,more_than_one_job,work_hours_per_week,incmc
1918,80,3,4,2,3,1,1,1,3,1,7,NA,6
13747,50.7,2,3,4,2,1,1,1,2,1,2,15,NA
10949,65.7,2,4,2,3,4,1,1,3,1,7,NA,7
22228,80,2,5,2,4,4,1,1,2,1,7,NA,6
18412,48.6,2,1,2,2,1,2,1,2,1,2,50,7
19915,60.3,3,3,2,3,1,1,1,2,1,2,40,8
21402,68.8,0,5,2,3,1,1,1,2,1,7,NA,6
19950,44.4,2,5,1,3,1,1,1,2,1,2,45,8
15009,36.5,2,2,1,3,1,2,1,1,1,2,40,10
6580,27.1,1,2,2,2,1,1,1,2,1,2,35,8
13825,36.2,0,2,2,1,5,1,3,2,1,2,50,NA
3890,43.6,1,3,2,3,5,1,1,2,1,2,55,8
13358,58.9,2,2,2,3,3,1,1,2,2,7,NA,7
21840,63.8,1,2,2,3,3,1,1,2,3,7,NA,NA
465,42.8,3,2,3,4,1,1,1,2,1,2,20,7
11153,69.4,3,3,2,3,3,1,1,2,1,7,NA,4
4499,55.5,2,3,2,2,3,1,1,2,4,2,40,7
21205,42.6,2,2,2,2,1,1,1,2,1,2,40,9
6333,50.2,2,1,2,1,5,1,1,2,2,2,57.5,12
17279,36.2,2,2,2,1,5,1,1,2,3,2,40,8
9005,45.7,3,2,2,2,2,1,1,2,3,7,NA,3
5133,37.6,1,4,2,1,5,1,1,2,3,2,40,NA
4913,74.2,2,4,2,3,4,1,1,2,2,7,NA,7
1386,56.6,2,4,2,2,1,1,1,2,2,7,NA,7
7719,23.8,0,1,2,2,5,1,1,2,1,1,22,4
16671,77.1,4,1,2,1,1,1,1,2,2,7,NA,9
16489,28.2,0,2,2,2,5,1,1,2,1,2,40,8
6156,62.4,1,4,2,2,1,1,1,3,1,7,NA,3
13013,31.6,0,2,2,3,5,1,1,2,2,2,40,9
1948,52.5,0,1,2,2,5,1,1,2,0,2,NA,NA
19712,71,3,5,2,2,1,1,1,2,1,7,NA,7
553,59.9,1,1,2,1,3,1,1,2,2,2,45,9
15537,55.4,2,2,1,1,3,1,1,2,2,2,40,11
12598,31.4,1,5,3,3,1,1,1,2,1,2,40,7
21080,45.1,2,2,2,2,5,1,1,2,1,2,37.5,8
7011,43.5,5,4,2,2,2,1,1,2,3,2,40,8
15593,46.5,2,3,2,1,5,1,1,2,1,2,35,10
3271,47.3,1,2,2,3,5,1,1,2,2,2,37,6
20533,59.1,2,4,7,2,1,2,1,2,1,2,37.5,6
7937,35,2,5,2,5,1,1,2,2,1,7,NA,6
1321,52.7,3,3,2,2,1,1,1,2,1,2,42,11
3612,61.5,2,2,1,2,1,1,1,3,1,2,48,10
17476,20.2,0,3,2,2,5,1,1,2,0,2,28,5
18867,50.8,1,4,2,1,5,1,1,2,1,2,30,6
20492,52.4,2,1,2,1,1,1,2,2,1,2,35,NA
20975,15.5,0,5,2,2,5,1,1,7,0,7,NA,2
10489,40.9,2,1,2,2,5,1,3,2,2,2,60,12
2771,54.5,5,1,2,2,3,1,1,2,2,2,32,NA
13166,34.2,2,3,2,3,1,1,1,2,1,2,35,7
11201,22.8,0,2,2,2,5,1,1,2,2,2,32,7
17033,31.8,1,2,3,1,3,2,1,2,1,7,NA,6
5578,43.4,1,5,4,2,5,1,3,2,2,7,NA,7
13523,27.3,0,5,1,3,5,2,1,2,0,2,30,5
20438,65.1,2,5,2,2,1,1,1,2,1,2,70,10
3931,70.5,3,5,2,5,1,1,1,2,1,7,NA,NA
12629,62.3,0,1,2,2,4,1,1,2,1,7,NA,9
13645,75.3,0,2,2,3,2,2,1,2,2,7,NA,6
4730,40.8,2,1,2,2,1,2,1,2,1,2,55,12
12327,80,0,3,2,3,5,1,1,2,0,7,NA,NA
2588,55.8,0,2,2,3,1,1,1,2,3,2,47.5,11
5748,24.3,0,1,6,2,5,2,1,2,1,7,NA,4
16940,63.1,6,5,3,4,4,2,1,2,1,2,38,5
12176,28.8,0,1,2,1,5,1,1,2,1,1,30,5
15517,54.7,1,1,2,2,5,1,1,2,0,2,35,9
15109,55.3,2,8,2,4,1,2,1,2,2,7,NA,1
12859,55.2,0,2,2,2,5,1,1,2,1,2,37.3,7
12253,48.4,1,4,4,3,5,1,1,2,1,7,NA,6
19881,40.4,3,1,3,4,1,2,1,2,1,7,NA,4
11154,66.6,3,2,2,3,3,1,1,2,1,7,NA,5
4398,41.1,2,1,2,2,1,1,1,2,1,2,50,11
10774,58.1,2,3,2,2,1,1,1,2,1,2,40,9
3804,17.3,0,5,2,2,5,1,1,7,0,2,15,2
19984,23.8,0,1,2,1,5,1,1,2,1,7,NA,5
2925,57.3,1,1,2,4,5,1,1,2,1,1,16,6
653,49.8,0,1,2,2,5,1,1,2,0,2,35,12
4585,36.8,2,1,2,2,5,1,1,2,1,2,45,12
6140,23.3,0,1,2,3,5,1,1,2,0,1,21,4
21589,31.4,0,2,2,2,1,2,1,2,1,2,40,11
16410,79.6,4,5,2,4,1,1,1,2,1,7,NA,6
7138,29.4,2,2,2,2,5,1,3,1,1,2,8,3
14236,68,2,5,2,3,1,1,1,3,1,7,NA,5
11938,58.5,2,4,3,2,1,2,1,3,1,7,NA,1
15255,20,0,5,2,3,5,1,1,2,0,2,15,NA
21473,33.5,1,1,4,1,1,1,1,2,1,2,35,NA
20591,57,3,4,3,3,1,2,1,2,1,7,NA,1
15325,59.8,2,5,3,3,1,2,1,3,1,2,18,5
599,46.8,2,4,2,2,1,1,1,2,1,2,40,8
3097,62,2,5,3,1,1,2,1,2,1,7,NA,6
7534,47.1,0,5,2,5,5,1,3,1,2,7,NA,3
12313,51,0,4,2,2,5,1,1,2,0,7,NA,6
9826,38.3,1,3,3,1,1,2,1,2,1,2,8,5
9816,71.5,2,5,NA,3,1,2,1,1,1,7,NA,NA
20120,36.3,1,2,6,3,3,2,1,2,1,7,NA,NA
12695,80,3,5,2,3,4,1,1,2,1,7,NA,NA
4012,60.2,0,3,2,2,4,1,1,2,1,2,26,9
15994,35.2,2,1,3,2,1,2,1,2,1,7,NA,4
1347,73.6,3,4,6,5,4,2,1,2,1,7,NA,4
1458,72.8,2,5,3,3,1,2,1,3,1,7,NA,6
11259,35.4,3,2,3,2,1,2,3,2,1,7,NA,5
21897,65.8,3,5,2,4,3,1,1,2,1,7,NA,5
18965,50,3,4,2,3,1,1,1,3,1,2,40,8
7783,80,7,1,7,4,4,2,3,2,1,7,NA,6
12366,57.8,1,3,2,2,1,1,1,2,1,7,NA,1
8593,43.2,2,2,2,2,5,1,1,1,2,1,40,6
17865,49.5,3,2,NA,8,3,8,1,2,3,2,40,NA
10250,54.9,0,1,3,2,5,2,1,2,0,2,40,NA
16186,78.3,3,1,2,2,1,1,1,2,2,7,NA,7
17411,80,0,5,4,2,5,1,1,2,0,7,NA,7
10964,56.3,2,4,2,2,1,1,1,2,1,2,40,6
2146,72.3,0,2,2,2,1,1,1,2,1,7,NA,9
1172,80,6,4,2,3,4,2,1,2,1,7,NA,4
5192,54.8,4,2,3,4,3,2,3,2,2,2,40,7
22079,56.3,2,4,1,4,2,1,1,1,1,7,NA,1
7844,42.5,0,2,2,1,3,1,1,2,2,2,50,10
3405,70.6,1,1,3,1,4,2,1,2,1,7,NA,4
16474,79.6,3,4,2,3,1,1,1,3,1,7,NA,4
1824,68,3,4,2,2,3,1,1,2,1,2,14.5,9
21159,53.5,3,5,3,3,1,2,1,2,1,2,37,5
19475,45.6,NA,1,2,1,3,1,1,2,3,2,37,10
10215,35.3,0,2,2,3,5,1,1,1,1,2,38,NA
8381,19.1,0,3,1,3,5,1,1,9,0,2,30,3
8701,75.2,2,5,2,4,3,1,1,2,1,7,NA,6
7887,50,3,1,2,2,1,2,1,2,1,2,37,11
2394,50.5,4,9,2,2,1,1,1,2,2,1,40,8
16573,35.4,2,1,2,2,1,1,1,2,2,2,40,12
15768,39.8,2,3,3,3,4,2,1,3,1,2,36,6
10213,53.8,3,3,2,3,1,1,1,2,1,2,35,6
18471,63.9,1,2,1,2,4,1,1,2,1,7,NA,4
12160,36.3,0,1,3,3,5,2,1,2,0,2,40,12
6649,72.6,0,1,1,2,5,1,1,2,0,2,30,12
4846,62.4,2,1,1,2,4,2,1,2,1,7,NA,12
7483,76.9,4,4,2,3,1,2,1,2,1,7,NA,NA
19732,21.3,0,2,1,1,5,1,1,2,1,1,55,5
22007,31.6,1,1,3,2,1,2,1,2,1,7,NA,1
13688,56.5,0,4,1,5,5,1,1,2,1,7,NA,4
19535,66.5,1,2,2,2,3,1,1,2,3,2,NA,NA
2664,75.3,4,1,3,5,4,1,1,2,2,2,15,6
19486,70.5,0,5,3,3,1,2,1,3,1,7,NA,6
13033,80,3,5,3,4,1,2,1,3,1,7,NA,6
12069,69.8,1,1,2,4,3,1,1,2,2,7,NA,5
18156,43,1,4,3,2,1,1,1,2,1,2,35,9
7237,67.7,7,5,3,4,1,2,1,2,1,7,NA,4
4921,34.3,0,1,1,1,1,1,1,2,1,2,40,7
8968,75.9,1,5,1,4,1,1,1,2,1,7,NA,4
3847,38.6,1,2,2,2,5,1,1,2,0,2,35,9
11538,29.5,1,2,2,1,5,1,1,2,1,2,40,6
19271,75.1,0,4,2,2,5,1,1,2,0,7,NA,6
1009,79.5,0,5,2,5,5,1,1,2,0,7,NA,NA
4379,61.1,0,2,2,2,5,1,1,2,0,7,NA,NA
341,48.7,3,5,2,3,5,1,1,1,2,2,32,5
7344,39.8,0,1,2,2,3,1,1,2,1,2,30,10
12948,37.2,2,1,2,3,2,1,1,2,1,2,40,10
17707,20.9,0,3,6,2,5,1,1,2,0,2,30,5
8787,48.4,1,1,2,2,2,1,1,2,3,2,40,12
15746,59.5,3,2,1,2,1,2,1,2,2,2,40,7
8424,44.5,2,2,1,1,1,1,1,2,1,2,40,7
3491,40.4,2,2,2,5,1,2,1,1,1,2,37.5,8
11517,42.8,2,1,2,3,1,1,1,2,1,2,45,12
3386,55.2,2,3,2,2,1,1,1,3,1,2,37.5,11
18298,59.9,4,3,2,1,1,1,1,2,1,2,30,8
1005,72.3,4,1,2,2,1,1,1,2,2,7,NA,6
3893,74.4,4,4,2,3,4,1,1,2,1,7,NA,5
17513,50.4,2,2,2,3,1,1,1,2,1,7,NA,1
1985,80,5,5,2,3,4,1,1,2,1,7,NA,NA
11300,39.8,0,3,2,3,5,1,1,2,0,2,40,7
11721,64.4,3,5,6,3,1,2,1,2,1,2,50,7
18899,25.4,1,1,1,3,5,1,1,2,1,2,35,5
19368,31.2,0,3,3,3,5,2,1,2,1,2,45,5
528,42.3,1,1,1,1,1,2,1,2,1,2,45,4
929,37.4,2,2,2,2,5,1,1,2,3,2,38,9
18500,76.2,4,1,3,3,4,2,1,3,1,7,NA,7
13441,50.1,3,2,1,3,1,1,1,2,1,2,5,3
2080,42.8,2,3,3,2,1,2,1,2,1,7,NA,1
3991,54.5,1,1,2,3,1,1,1,2,1,2,55,12
19538,50.3,3,2,1,2,1,2,1,1,1,1,40,10
17212,42.3,2,1,3,1,1,1,1,2,1,2,40,11
18071,42.9,2,2,3,3,1,1,1,2,1,7,NA,2
22303,64.8,2,4,1,4,1,1,1,2,1,7,NA,NA
11468,66.4,2,3,1,2,4,1,1,2,1,7,NA,7
6479,59.4,1,1,2,1,2,1,1,2,1,1,45,10
20889,75.9,3,2,1,2,1,1,1,2,1,7,NA,3
17831,30.8,2,2,2,1,1,1,1,2,1,2,40,9
4365,80,4,5,3,2,1,1,1,8,1,7,NA,NA
11989,79.1,6,5,2,4,4,1,1,2,2,7,NA,5
1124,50.8,1,5,3,2,1,2,1,2,1,2,40,NA
461,32.9,1,4,3,3,1,2,1,1,1,2,31,4
8815,66.1,3,5,2,3,3,1,1,2,1,7,NA,5
4386,38.1,2,2,3,9,2,2,1,1,1,2,25,5
13822,66.2,0,4,2,2,5,1,1,2,0,7,NA,6
13060,64.1,1,5,2,3,5,1,1,2,0,2,38.8,7
20578,50.7,1,3,3,2,5,2,1,2,0,2,48,7
2078,46.8,0,4,2,4,5,1,1,2,0,7,NA,3
8969,33.7,1,2,6,3,1,2,1,2,1,2,40,3
21361,53.8,0,1,1,3,5,1,1,2,0,2,45,10
12428,58.2,1,5,1,4,3,2,3,2,1,2,40,6
14181,80,0,1,3,2,3,2,1,2,1,7,NA,NA
4201,22.2,0,2,1,1,5,1,1,3,0,2,35,NA
18886,71.5,2,2,2,2,4,1,1,2,1,2,NA,7
11742,20.3,0,3,3,3,5,2,1,2,0,7,NA,1
3118,59.5,3,1,7,3,1,1,1,3,1,2,50,NA
39,30.1,0,1,3,1,5,2,1,2,1,2,37.5,10
4385,45.1,2,1,2,2,1,1,1,2,1,2,45,12
1950,37.9,2,1,2,1,5,1,1,2,2,1,20,8
13707,69.5,0,1,1,1,5,1,1,2,0,7,NA,NA
5883,56.1,3,4,2,5,3,1,2,2,2,7,NA,3
